Index,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
444,Gabite,Dragon,Ground,68,90,65,50,55,82
445,Garchomp,Dragon,Ground,108,130,95,80,85,102
446,Munchlax,Normal,None,135,85,40,40,85,5
447,Riolu,Fighting,None,40,70,40,35,40,60
448,Lucario,Fighting,Steel,70,110,70,115,70,90
449,Hippopotas,Ground,None,68,72,78,38,42,32
450,Hippowdon,Ground,None,108,112,118,68,72,47
451,Skorupi,Poison,Bug,40,50,90,30,55,65
452,Drapion,Poison,Dark,70,90,110,60,75,95
453,Croagunk,Poison,Fighting,48,61,40,61,40,50
454,Toxicroak,Poison,Fighting,83,106,65,86,65,85
455,Carnivine,Grass,None,74,100,72,90,72,46
456,Finneon,Water,None,49,49,56,49,61,66
457,Lumineon,Water,None,69,69,76,69,86,91
458,Mantyke,Water,Flying,45,20,50,60,120,50
459,Snover,Grass,Ice,60,62,50,62,60,40
460,Abomasnow,Grass,Ice,90,92,75,92,85,60
461,Weavile,Dark,Ice,70,120,65,45,85,125
462,Magnezone,Electric,Steel,70,70,115,130,90,60
463,Lickilicky,Normal,None,110,85,95,80,95,50
464,Rhyperior,Ground,Rock,115,140,130,55,55,40
465,Tangrowth,Grass,None,100,100,125,110,50,50
466,Electivire,Electric,None,75,123,67,95,85,95
467,Magmortar,Fire,None,75,95,67,125,95,83
468,Togekiss,Fairy,Flying,85,50,95,120,115,80
469,Yanmega,Bug,Flying,86,76,86,116,56,95
470,Leafeon,Grass,None,65,110,130,60,65,95
471,Glaceon,Ice,None,65,60,110,130,95,65
472,Gliscor,Ground,Flying,75,95,125,45,75,95
473,Mamoswine,Ice,Ground,110,130,80,70,60,80
474,Porygon-Z,Normal,None,85,80,70,135,75,90
475,Gallade,Psychic,Fighting,68,125,65,65,115,80
476,Probopass,Rock,Steel,60,55,145,75,150,40
477,Dusknoir,Ghost,None,45,100,135,65,135,45
478,Froslass,Ice,Ghost,70,80,70,80,70,110
479,Rotom,Electric,Ghost,50,50,77,95,77,91
480,Uxie,Psychic,None,75,75,130,75,130,95
481,Mesprit,Psychic,None,80,105,105,105,105,80
482,Azelf,Psychic,None,75,125,70,125,70,115
483,Dialga,Steel,Dragon,100,120,120,150,100,90
484,Palkia,Water,Dragon,90,120,100,150,120,100
485,Heatran,Fire,Steel,91,90,106,130,106,77
486,Regigigas,Normal,None,110,160,110,80,110,100
487,Giratina,Ghost,Dragon,150,100,120,100,120,90
488,Cresselia,Psychic,None,120,70,110,75,120,85
489,Phione,Water,None,80,80,80,80,80,80
490,Manaphy,Water,None,100,100,100,100,100,100
491,Darkrai,Dark,None,70,90,90,135,90,125
492,Shaymin,Grass,None,100,100,100,100,100,100
493,Arceus,Normal,None,120,120,120,120,120,120
