Number,Name,Type 1,Type 2,HP,Attack,Defense,Sp.Attack,Sp.Defense,Speed
364,Sealeo,Ice,Water,90,60,70,75,70,45
365,Walrein,Ice,Water,110,80,90,95,90,65
366,Clamperl,Water,None,35,64,85,74,55,32
367,Huntail,Water,None,55,104,105,94,75,52
368,Gorebyss,Water,None,55,84,105,114,75,52
369,Relicanth,Water,Rock,100,90,130,45,65,55
370,Luvdisc,Water,None,43,30,55,40,65,97
382,Kyogre,Water,None,100,100,90,150,140,90
393,Piplup,Water,None,53,51,53,61,56,40
394,Prinplup,Water,None,64,66,68,81,76,50
395,Empoleon,Water,Steel,84,86,88,111,101,60
400,Bibarel,Normal,Water,79,85,60,55,60,71
418,Buizel,Water,None,55,65,35,60,30,85
419,Floatzel,Water,None,85,105,55,85,50,115
422,Shellos,Water,None,76,48,48,57,62,34
423,Gastrodon,Water,Ground,111,83,68,92,82,39
456,Finneon,Water,None,49,49,56,49,61,66
457,Lumineon,Water,None,69,69,76,69,86,91
458,Mantyke,Water,Flying,45,20,50,60,120,50
484,Palkia,Water,Dragon,90,120,100,150,120,100
489,Phione,Water,None,80,80,80,80,80,80
490,Manaphy,Water,None,100,100,100,100,100,100
501,Oshawott,Water,None,55,55,45,63,45,45
502,Dewott,Water,None,75,75,60,83,60,60
503,Samurott,Water,None,95,100,85,108,70,70
515,Panpour,Water,None,50,53,48,53,48,64
516,Simipour,Water,None,75,98,63,98,63,101
535,Tympole,Water,None,50,50,40,50,40,64
536,Palpitoad,Water,Ground,75,65,55,65,55,69
537,Seismitoad,Water,Ground,105,95,75,85,75,74
550,Basculin,Water,None,70,92,65,80,55,98
564,Tirtouga,Water,Rock,54,78,103,53,45,22
565,Carracosta,Water,Rock,74,108,133,83,65,32
580,Ducklett,Water,Flying,62,44,50,44,50,55
581,Swanna,Water,Flying,75,87,63,87,63,98
592,Frillish,Water,Ghost,55,40,50,65,85,40
593,Jellicent,Water,Ghost,100,60,70,85,105,60
594,Alomomola,Water,None,165,75,80,40,45,65
647,Keldeo,Water,Fighting,91,72,90,129,90,108
656,Froakie,Water,None,41,56,40,62,44,71
657,Frogadier,Water,None,54,63,52,83,56,97
658,Greninja,Water,Dark,72,95,67,103,71,122
688,Binacle,Rock,Water,42,52,67,39,56,50
689,Barbaracle,Rock,Water,72,105,115,54,86,68
690,Skrelp,Poison,Water,50,60,60,60,60,30
692,Clauncher,Water,None,50,53,62,58,63,44
693,Clawitzer,Water,None,71,73,88,120,89,59
721,Volcanion,Fire,Water,80,110,120,130,90,70
728,Popplio,Water,None,50,54,54,66,56,40
729,Brionne,Water,None,60,69,69,91,81,50
730,Primarina,Water,Fairy,80,74,74,126,116,60
746,Wishiwashi,Water,None,45,20,20,25,25,40
747,Mareanie,Poison,Water,50,53,62,43,52,45
748,Toxapex,Poison,Water,50,63,152,53,142,35
751,Dewpider,Water,Bug,38,40,52,40,72,27
752,Araquanid,Water,Bug,68,70,92,50,132,42
767,Wimpod,Bug,Water,25,35,40,20,30,80
768,Golisopod,Bug,Water,75,125,140,60,90,40
771,Pyukumuku,Water,None,55,60,130,30,130,5
779,Bruxish,Water,Psychic,68,105,70,70,70,92
788,Tapu Fini,Water,Fairy,70,75,115,95,130,85
816,Sobble,Water,None,50,40,40,70,40,70
817,Drizzile,Water,None,65,60,55,95,55,90
818,Inteleon,Water,None,70,85,65,125,65,120
833,Chewtle,Water,None,50,64,50,38,38,44
834,Drednaw,Water,Rock,90,115,90,48,68,74
845,Cramorant,Flying,Water,70,85,55,85,95,85
846,Arrokuda,Water,None,41,63,40,40,30,66
847,Barraskewda,Water,None,61,123,60,60,50,136
882,Dracovish,Water,Dragon,90,90,100,70,80,75
883,Arctovish,Water,Ice,90,90,100,80,90,55
902,Basculegion,Water,Ghost,120,112,65,80,75,78
912,Quaxly,Water,None,55,65,45,50,45,50
913,Quaxwell,Water,None,70,85,65,65,60,65
914,Quaquaval,Water,Fighting,85,120,80,85,75,85
960,Wiglett,Water,None,10,55,25,35,25,95
961,Wugtrio,Water,None,35,100,50,50,70,120
963,Finizen,Water,None,70,45,40,45,40,75
964,Palafin,Water,None,100,70,72,53,62,100
976,Veluza,Water,Psychic,90,102,73,78,65,70
977,Dondozo,Water,None,150,100,115,65,65,35
978,Tatsugiri,Dragon,Water,68,50,60,120,95,82
991,Iron Bundle,Ice,Water,56,80,114,124,60,136
1009,Walking Wake,Water,Dragon,99,83,91,125,83,109
